Date,Open,High,Low,Close,Volume
2000-01-01,0.0,0.0,0.0,0.0,0.0
2023-11-10 00:00:00+00:00,0.0,0.0,0.0,21.28,765303.0
2023-11-13 00:00:00+00:00,0.0,0.0,0.0,20.8,794450.0
2023-11-14 00:00:00+00:00,0.0,0.0,0.0,20.72,540090.0
2023-11-15 00:00:00+00:00,0.0,0.0,0.0,20.84,678628.0
2023-11-16 00:00:00+00:00,0.0,0.0,0.0,20.68,736641.0
2023-11-17 00:00:00+00:00,0.0,0.0,0.0,20.12,598340.0
2023-11-20 00:00:00+00:00,0.0,0.0,0.0,19.84,375686.0
2023-11-21 00:00:00+00:00,0.0,0.0,0.0,20.0,568552.0
2023-11-22 00:00:00+00:00,0.0,0.0,0.0,20.4,454624.0
2023-11-23 00:00:00+00:00,0.0,0.0,0.0,20.04,571823.0
2023-11-24 00:00:00+00:00,0.0,0.0,0.0,19.88,415744.0
2023-11-27 00:00:00+00:00,0.0,0.0,0.0,20.16,468317.0
2023-11-28 00:00:00+00:00,0.0,0.0,0.0,20.28,436212.0
2023-11-29 00:00:00+00:00,0.0,0.0,0.0,20.12,414853.0
2023-11-30 00:00:00+00:00,0.0,0.0,0.0,20.0,325712.0
2023-12-01 00:00:00+00:00,0.0,0.0,0.0,19.96,304664.0
2023-12-04 00:00:00+00:00,0.0,0.0,0.0,20.0,652931.0
2023-12-05 00:00:00+00:00,0.0,0.0,0.0,19.88,335198.0
2023-12-06 00:00:00+00:00,0.0,0.0,0.0,20.0,336451.0
2023-12-07 00:00:00+00:00,0.0,0.0,0.0,19.72,535879.0
2023-12-08 00:00:00+00:00,0.0,0.0,0.0,19.72,466367.0
2023-12-11 00:00:00+00:00,0.0,0.0,0.0,19.76,583807.0
2023-12-12 00:00:00+00:00,0.0,0.0,0.0,19.84,621001.0
2023-12-13 00:00:00+00:00,0.0,0.0,0.0,19.68,569945.0
2023-12-14 00:00:00+00:00,0.0,0.0,0.0,19.68,524680.0
2023-12-15 00:00:00+00:00,0.0,0.0,0.0,19.68,476476.0
2023-12-18 00:00:00+00:00,0.0,0.0,0.0,20.12,624665.0
2023-12-19 00:00:00+00:00,0.0,0.0,0.0,20.0,417600.0
2023-12-20 00:00:00+00:00,0.0,0.0,0.0,20.0,448896.0
2023-12-21 00:00:00+00:00,0.0,0.0,0.0,19.96,561497.0
2023-12-22 00:00:00+00:00,0.0,0.0,0.0,19.92,421537.0
2023-12-25 00:00:00+00:00,0.0,0.0,0.0,20.0,487105.0
2023-12-26 00:00:00+00:00,0.0,0.0,0.0,19.88,459423.0
2023-12-27 00:00:00+00:00,0.0,0.0,0.0,20.08,490717.0
2023-12-28 00:00:00+00:00,0.0,0.0,0.0,20.16,514499.0
2023-12-29 00:00:00+00:00,0.0,0.0,0.0,21.2,1220600.0
2024-01-02 00:00:00+00:00,0.0,0.0,0.0,21.0,892366.0
2024-01-03 00:00:00+00:00,0.0,0.0,0.0,21.0,737446.0
2024-01-04 00:00:00+00:00,0.0,0.0,0.0,20.92,825756.0
2024-01-05 00:00:00+00:00,0.0,0.0,0.0,20.68,749669.0
2024-01-08 00:00:00+00:00,0.0,0.0,0.0,20.8,554812.0
2024-01-09 00:00:00+00:00,0.0,0.0,0.0,20.64,641895.0
2024-01-10 00:00:00+00:00,0.0,0.0,0.0,20.48,651098.0
2024-01-11 00:00:00+00:00,0.0,0.0,0.0,20.44,607501.0
2024-01-12 00:00:00+00:00,0.0,0.0,0.0,19.96,633800.0
2024-01-15 00:00:00+00:00,0.0,0.0,0.0,19.96,496932.0
2024-01-16 00:00:00+00:00,0.0,0.0,0.0,20.12,463402.0
2024-01-17 00:00:00+00:00,0.0,0.0,0.0,20.36,1018896.0
2024-01-18 00:00:00+00:00,0.0,0.0,0.0,20.4,646813.0
2024-01-19 00:00:00+00:00,0.0,0.0,0.0,20.2,430698.0
2024-01-22 00:00:00+00:00,0.0,0.0,0.0,20.08,282124.0
2024-01-23 00:00:00+00:00,0.0,0.0,0.0,19.76,364677.0
2024-01-24 00:00:00+00:00,0.0,0.0,0.0,19.68,287709.0
2024-01-25 00:00:00+00:00,0.0,0.0,0.0,19.64,201721.0
2024-01-26 00:00:00+00:00,0.0,0.0,0.0,19.72,266031.0
2024-01-29 00:00:00+00:00,0.0,0.0,0.0,19.76,269205.0
2024-01-30 00:00:00+00:00,0.0,0.0,0.0,19.76,179174.0
2024-01-31 00:00:00+00:00,0.0,0.0,0.0,19.52,271667.0
2024-02-01 00:00:00+00:00,0.0,0.0,0.0,19.4,281241.0
2024-02-02 00:00:00+00:00,0.0,0.0,0.0,19.44,208830.0
2024-02-05 00:00:00+00:00,0.0,0.0,0.0,19.2,375152.0
2024-02-06 00:00:00+00:00,0.0,0.0,0.0,19.24,102844.0
2024-02-07 00:00:00+00:00,0.0,0.0,0.0,19.16,127416.0
2024-02-15 00:00:00+00:00,0.0,0.0,0.0,19.48,150041.0
2024-02-16 00:00:00+00:00,0.0,0.0,0.0,19.6,326669.0
2024-02-19 00:00:00+00:00,0.0,0.0,0.0,19.68,243096.0
2024-02-20 00:00:00+00:00,0.0,0.0,0.0,19.84,206659.0
2024-02-21 00:00:00+00:00,0.0,0.0,0.0,19.64,168922.0
2024-02-22 00:00:00+00:00,0.0,0.0,0.0,19.6,139155.0
2024-02-23 00:00:00+00:00,0.0,0.0,0.0,19.2,355863.0
2024-02-26 00:00:00+00:00,0.0,0.0,0.0,19.28,167949.0
2024-02-27 00:00:00+00:00,0.0,0.0,0.0,19.52,161116.0
2024-02-28 00:00:00+00:00,0.0,0.0,0.0,19.36,110605.0
2024-02-29 00:00:00+00:00,0.0,0.0,0.0,19.24,619296.0
2024-03-01 00:00:00+00:00,0.0,0.0,0.0,19.28,612571.0
2024-03-04 00:00:00+00:00,0.0,0.0,0.0,19.44,1002128.0
2024-03-05 00:00:00+00:00,0.0,0.0,0.0,19.2,2430238.0
2024-03-06 00:00:00+00:00,0.0,0.0,0.0,19.16,855610.0
2024-03-07 00:00:00+00:00,0.0,0.0,0.0,18.96,900708.0
2024-03-08 00:00:00+00:00,0.0,0.0,0.0,18.24,830325.0
2024-03-11 00:00:00+00:00,0.0,0.0,0.0,17.36,1039803.0
2024-03-12 00:00:00+00:00,0.0,0.0,0.0,17.68,1230651.0
2024-03-13 00:00:00+00:00,0.0,0.0,0.0,18.0,1182584.0
2024-03-14 00:00:00+00:00,0.0,0.0,0.0,17.8,636985.0
2024-03-15 00:00:00+00:00,0.0,0.0,0.0,17.84,789170.0
2024-03-18 00:00:00+00:00,0.0,0.0,0.0,17.6,1146222.0
2024-03-19 00:00:00+00:00,0.0,0.0,0.0,18.4,2964254.0
2024-03-20 00:00:00+00:00,0.0,0.0,0.0,18.76,1872090.0
2024-03-21 00:00:00+00:00,0.0,0.0,0.0,18.56,2476580.0
2024-03-22 00:00:00+00:00,0.0,0.0,0.0,19.08,3330755.0
