Date,Open,High,Low,Close,Volume
2000-01-01,0.0,0.0,0.0,0.0,0.0
2022-12-09 00:00:00+00:00,0.0,0.0,0.0,10.7,61600.0
2022-12-12 00:00:00+00:00,0.0,0.0,0.0,10.45,20311.0
2022-12-13 00:00:00+00:00,0.0,0.0,0.0,10.45,25300.0
2022-12-14 00:00:00+00:00,0.0,0.0,0.0,10.35,11900.0
2022-12-15 00:00:00+00:00,0.0,0.0,0.0,10.35,25000.0
2022-12-16 00:00:00+00:00,0.0,0.0,0.0,11.0,750310.0
2022-12-19 00:00:00+00:00,0.0,0.0,0.0,10.85,23300.0
2022-12-20 00:00:00+00:00,0.0,0.0,0.0,10.25,22800.0
2022-12-21 00:00:00+00:00,0.0,0.0,0.0,9.58,21500.0
2022-12-22 00:00:00+00:00,0.0,0.0,0.0,9.4,23000.0
2022-12-23 00:00:00+00:00,0.0,0.0,0.0,9.59,86200.0
2022-12-26 00:00:00+00:00,0.0,0.0,0.0,8.92,55691.0
2022-12-27 00:00:00+00:00,0.0,0.0,0.0,8.72,12100.0
2022-12-28 00:00:00+00:00,0.0,0.0,0.0,8.86,16000.0
2022-12-29 00:00:00+00:00,0.0,0.0,0.0,9.3,92176.0
2022-12-30 00:00:00+00:00,0.0,0.0,0.0,9.59,25000.0
2023-01-03 00:00:00+00:00,0.0,0.0,0.0,9.59,11765.0
2023-01-04 00:00:00+00:00,0.0,0.0,0.0,9.72,685306.0
2023-01-05 00:00:00+00:00,0.0,0.0,0.0,9.7,39100.0
2023-01-06 00:00:00+00:00,0.0,0.0,0.0,9.61,91620.0
2023-01-09 00:00:00+00:00,0.0,0.0,0.0,8.94,236124.0
2023-01-10 00:00:00+00:00,0.0,0.0,0.0,8.32,173800.0
2023-01-11 00:00:00+00:00,0.0,0.0,0.0,7.74,539101.0
2023-01-12 00:00:00+00:00,0.0,0.0,0.0,7.4,531380.0
2023-01-13 00:00:00+00:00,0.0,0.0,0.0,7.45,82100.0
2023-01-16 00:00:00+00:00,0.0,0.0,0.0,6.93,261962.0
2023-01-17 00:00:00+00:00,0.0,0.0,0.0,6.85,175029.0
2023-01-18 00:00:00+00:00,0.0,0.0,0.0,6.86,83120.0
2023-01-19 00:00:00+00:00,0.0,0.0,0.0,6.83,117810.0
2023-01-27 00:00:00+00:00,0.0,0.0,0.0,7.07,101729.0
2023-01-30 00:00:00+00:00,0.0,0.0,0.0,6.98,781347.0
2023-01-31 00:00:00+00:00,0.0,0.0,0.0,6.98,141522.0
2023-02-01 00:00:00+00:00,0.0,0.0,0.0,6.77,269288.0
