Date,Open,High,Low,Close,Volume
2000-01-01,0.0,0.0,0.0,0.0,0.0
2023-11-10 00:00:00+00:00,0.0,0.0,0.0,13.56,2573293.0
2023-11-13 00:00:00+00:00,0.0,0.0,0.0,13.47,1726834.0
2023-11-14 00:00:00+00:00,0.0,0.0,0.0,13.6,2248536.0
2023-11-15 00:00:00+00:00,0.0,0.0,0.0,13.65,2196226.0
2023-11-16 00:00:00+00:00,0.0,0.0,0.0,14.06,1492737.0
2023-11-17 00:00:00+00:00,0.0,0.0,0.0,13.65,2839462.0
2023-11-20 00:00:00+00:00,0.0,0.0,0.0,14.1,2334607.0
2023-11-21 00:00:00+00:00,0.0,0.0,0.0,14.24,1763958.0
2023-11-22 00:00:00+00:00,0.0,0.0,0.0,14.47,1906416.0
2023-11-23 00:00:00+00:00,0.0,0.0,0.0,13.47,2234466.0
2023-11-24 00:00:00+00:00,0.0,0.0,0.0,14.1,3047832.0
2023-11-27 00:00:00+00:00,0.0,0.0,0.0,13.78,858289.0
2023-11-28 00:00:00+00:00,0.0,0.0,0.0,14.01,1414606.0
2023-11-29 00:00:00+00:00,0.0,0.0,0.0,14.19,1594617.0
2023-11-30 00:00:00+00:00,0.0,0.0,0.0,14.01,2130042.0
2023-12-01 00:00:00+00:00,0.0,0.0,0.0,14.24,1139652.0
2023-12-04 00:00:00+00:00,0.0,0.0,0.0,15.15,4045637.0
2023-12-05 00:00:00+00:00,0.0,0.0,0.0,15.1,1704024.0
2023-12-06 00:00:00+00:00,0.0,0.0,0.0,15.28,1771649.0
2023-12-07 00:00:00+00:00,0.0,0.0,0.0,14.88,5081524.0
2023-12-08 00:00:00+00:00,0.0,0.0,0.0,14.6,1290105.0
2023-12-11 00:00:00+00:00,0.0,0.0,0.0,14.6,1524539.0
2023-12-12 00:00:00+00:00,0.0,0.0,0.0,14.51,706355.0
2023-12-13 00:00:00+00:00,0.0,0.0,0.0,14.38,1539259.0
2023-12-14 00:00:00+00:00,0.0,0.0,0.0,14.42,1060007.0
2023-12-15 00:00:00+00:00,0.0,0.0,0.0,14.47,1308273.0
2023-12-18 00:00:00+00:00,0.0,0.0,0.0,14.28,1036957.0
2023-12-19 00:00:00+00:00,0.0,0.0,0.0,14.51,953855.0
2023-12-20 00:00:00+00:00,0.0,0.0,0.0,14.65,832284.0
2023-12-21 00:00:00+00:00,0.0,0.0,0.0,14.6,697227.0
2023-12-22 00:00:00+00:00,0.0,0.0,0.0,14.51,1238272.0
2023-12-25 00:00:00+00:00,0.0,0.0,0.0,14.47,1901890.0
2023-12-26 00:00:00+00:00,0.0,0.0,0.0,14.56,797081.0
2023-12-27 00:00:00+00:00,0.0,0.0,0.0,14.74,1468570.0
2023-12-28 00:00:00+00:00,0.0,0.0,0.0,14.65,969773.0
2023-12-29 00:00:00+00:00,0.0,0.0,0.0,14.6,747270.0
2024-01-02 00:00:00+00:00,0.0,0.0,0.0,14.47,1299385.0
2024-01-03 00:00:00+00:00,0.0,0.0,0.0,14.6,913451.0
2024-01-04 00:00:00+00:00,0.0,0.0,0.0,14.83,3411165.0
2024-01-05 00:00:00+00:00,0.0,0.0,0.0,14.92,1201638.0
2024-01-08 00:00:00+00:00,0.0,0.0,0.0,15.47,3663443.0
2024-01-09 00:00:00+00:00,0.0,0.0,0.0,15.33,1635533.0
2024-01-10 00:00:00+00:00,0.0,0.0,0.0,15.06,1669719.0
2024-01-11 00:00:00+00:00,0.0,0.0,0.0,15.28,1678852.0
2024-01-12 00:00:00+00:00,0.0,0.0,0.0,15.1,1592604.0
2024-01-15 00:00:00+00:00,0.0,0.0,0.0,14.74,1402718.0
2024-01-16 00:00:00+00:00,0.0,0.0,0.0,15.01,1061398.0
2024-01-17 00:00:00+00:00,0.0,0.0,0.0,15.1,2028391.0
2024-01-18 00:00:00+00:00,0.0,0.0,0.0,15.01,1500450.0
2024-01-19 00:00:00+00:00,0.0,0.0,0.0,14.97,991924.0
2024-01-22 00:00:00+00:00,0.0,0.0,0.0,15.19,1126325.0
2024-01-23 00:00:00+00:00,0.0,0.0,0.0,15.1,810321.0
2024-01-24 00:00:00+00:00,0.0,0.0,0.0,15.1,1527190.0
2024-01-25 00:00:00+00:00,0.0,0.0,0.0,15.1,513244.0
2024-01-26 00:00:00+00:00,0.0,0.0,0.0,15.1,654505.0
2024-01-29 00:00:00+00:00,0.0,0.0,0.0,15.01,522975.0
2024-01-30 00:00:00+00:00,0.0,0.0,0.0,15.06,1010671.0
2024-01-31 00:00:00+00:00,0.0,0.0,0.0,14.92,2623480.0
2024-02-01 00:00:00+00:00,0.0,0.0,0.0,15.33,1188211.0
2024-02-02 00:00:00+00:00,0.0,0.0,0.0,15.65,3702771.0
2024-02-05 00:00:00+00:00,0.0,0.0,0.0,15.69,1340406.0
2024-02-06 00:00:00+00:00,0.0,0.0,0.0,15.79,1177633.0
2024-02-07 00:00:00+00:00,0.0,0.0,0.0,15.79,1212763.0
2024-02-15 00:00:00+00:00,0.0,0.0,0.0,15.74,1199810.0
2024-02-16 00:00:00+00:00,0.0,0.0,0.0,15.74,1306613.0
2024-02-19 00:00:00+00:00,0.0,0.0,0.0,15.65,1716835.0
2024-02-20 00:00:00+00:00,0.0,0.0,0.0,15.92,2708617.0
2024-02-21 00:00:00+00:00,0.0,0.0,0.0,15.83,878476.0
2024-02-22 00:00:00+00:00,0.0,0.0,0.0,15.6,1137260.0
2024-02-23 00:00:00+00:00,0.0,0.0,0.0,15.06,2620174.0
2024-02-26 00:00:00+00:00,0.0,0.0,0.0,15.74,2081147.0
2024-02-27 00:00:00+00:00,0.0,0.0,0.0,15.83,1598658.0
2024-02-28 00:00:00+00:00,0.0,0.0,0.0,15.74,1121093.0
2024-02-29 00:00:00+00:00,0.0,0.0,0.0,15.88,2740656.0
2024-03-01 00:00:00+00:00,0.0,0.0,0.0,16.47,3490695.0
2024-03-04 00:00:00+00:00,0.0,0.0,0.0,16.47,1855453.0
2024-03-05 00:00:00+00:00,0.0,0.0,0.0,17.1,3115430.0
2024-03-06 00:00:00+00:00,0.0,0.0,0.0,17.38,3844314.0
2024-03-07 00:00:00+00:00,0.0,0.0,0.0,18.56,4335493.0
2024-03-08 00:00:00+00:00,0.0,0.0,0.0,19.11,5478863.0
2024-03-11 00:00:00+00:00,0.0,0.0,0.0,19.29,3088526.0
2024-03-12 00:00:00+00:00,0.0,0.0,0.0,19.02,2898076.0
2024-03-13 00:00:00+00:00,0.0,0.0,0.0,19.83,3897868.0
2024-03-14 00:00:00+00:00,0.0,0.0,0.0,19.42,3849549.0
2024-03-15 00:00:00+00:00,0.0,0.0,0.0,19.56,3016910.0
2024-03-18 00:00:00+00:00,0.0,0.0,0.0,18.33,6766885.0
2024-03-19 00:00:00+00:00,0.0,0.0,0.0,18.42,2085887.0
2024-03-20 00:00:00+00:00,0.0,0.0,0.0,18.88,1936446.0
2024-03-21 00:00:00+00:00,0.0,0.0,0.0,18.92,2967946.0
2024-03-22 00:00:00+00:00,0.0,0.0,0.0,19.2,3697260.0
2024-03-25 00:00:00+00:00,0.0,0.0,0.0,18.88,1952077.0
2024-03-26 00:00:00+00:00,0.0,0.0,0.0,19.2,1245585.0
2024-03-27 00:00:00+00:00,0.0,0.0,0.0,19.29,1411477.0
2024-03-28 00:00:00+00:00,0.0,0.0,0.0,20.61,5942894.0
2024-03-29 00:00:00+00:00,0.0,0.0,0.0,20.29,2389889.0
2024-04-01 00:00:00+00:00,0.0,0.0,0.0,20.15,1968083.0
2024-04-02 00:00:00+00:00,0.0,0.0,0.0,20.29,1879680.0
2024-04-03 00:00:00+00:00,0.0,0.0,0.0,19.83,3392278.0
2024-04-04 00:00:00+00:00,0.0,0.0,0.0,19.38,2605917.0
2024-04-05 00:00:00+00:00,0.0,0.0,0.0,18.65,3103559.0
2024-04-08 00:00:00+00:00,0.0,0.0,0.0,18.42,2280954.0
2024-04-09 00:00:00+00:00,0.0,0.0,0.0,19.15,1801842.0
2024-04-10 00:00:00+00:00,0.0,0.0,0.0,18.83,1264565.0
2024-04-11 00:00:00+00:00,0.0,0.0,0.0,19.06,1435238.0
2024-04-12 00:00:00+00:00,0.0,0.0,0.0,19.7,2278589.0
2024-04-15 00:00:00+00:00,0.0,0.0,0.0,18.33,5477730.0
2024-04-16 00:00:00+00:00,0.0,0.0,0.0,18.65,4297873.0
2024-04-17 00:00:00+00:00,0.0,0.0,0.0,17.88,2932285.0
2024-04-19 00:00:00+00:00,0.0,0.0,0.0,16.65,6263895.0
2024-04-22 00:00:00+00:00,0.0,0.0,0.0,17.29,2913697.0
2024-04-23 00:00:00+00:00,0.0,0.0,0.0,16.1,3430936.0
2024-04-24 00:00:00+00:00,0.0,0.0,0.0,16.83,2974162.0
2024-04-25 00:00:00+00:00,0.0,0.0,0.0,16.56,1979933.0
2024-04-26 00:00:00+00:00,0.0,0.0,0.0,16.38,1709572.0
2024-05-02 00:00:00+00:00,0.0,0.0,0.0,15.97,2162261.0
2024-05-03 00:00:00+00:00,0.0,0.0,0.0,16.19,1408734.0
2024-05-06 00:00:00+00:00,0.0,0.0,0.0,16.97,2468234.0
2024-05-07 00:00:00+00:00,0.0,0.0,0.0,16.88,1688663.0
2024-05-08 00:00:00+00:00,0.0,0.0,0.0,17.15,2646633.0
2024-05-09 00:00:00+00:00,0.0,0.0,0.0,16.97,1199473.0
2024-05-10 00:00:00+00:00,0.0,0.0,0.0,17.2,1485091.0
2024-05-13 00:00:00+00:00,0.0,0.0,0.0,17.38,2077765.0
2024-05-14 00:00:00+00:00,0.0,0.0,0.0,17.33,960665.0
2024-05-15 00:00:00+00:00,0.0,0.0,0.0,17.88,3148188.0
2024-05-16 00:00:00+00:00,0.0,0.0,0.0,17.92,1648045.0
2024-05-17 00:00:00+00:00,0.0,0.0,0.0,18.29,2315066.0
2024-05-20 00:00:00+00:00,0.0,0.0,0.0,18.29,1450995.0
2024-05-21 00:00:00+00:00,0.0,0.0,0.0,18.38,2308436.0
2024-05-22 00:00:00+00:00,0.0,0.0,0.0,18.61,3021132.0
2024-05-23 00:00:00+00:00,0.0,0.0,0.0,18.7,1892131.0
2024-05-24 00:00:00+00:00,0.0,0.0,0.0,17.88,3617257.0
2024-05-27 00:00:00+00:00,0.0,0.0,0.0,17.74,1216417.0
2024-05-28 00:00:00+00:00,0.0,0.0,0.0,18.42,1825745.0
2024-05-29 00:00:00+00:00,0.0,0.0,0.0,18.79,4324229.0
2024-05-30 00:00:00+00:00,0.0,0.0,0.0,19.83,5171790.0
